ensembl_gene_id	entrezgene
Y71G12B.10	171738
T05E7.4	172307
Y40B1B.7	173211
T22A3.3	172948
Y23H5B.3	189526
F39H2.3	172668
F22G12.1	184866
D1007.12	172062
T15D6.2	173109
K07A1.1	187080
C43E11.3	172026
T04D1.2	188058
C47F8.6	183562
F25H2.6	172940
T23H2.1	172348
T02G6.6	188000
C30F12.5	183055
Y106G6G.2	172898
K11D2.4	187291
C48E7.6	172317
F37E3.2	185427
T28F4.3	189059
Y95B8A.2	171676
T20F5.8	6418602
C30F8.4	172135
F55D12.1	186308
Y39G10AL.3	171784
C25A1.13	182876
F52A8.6	172487
F52A8.6	13180879
Y37F4.1	260017
K07A12.7	187087
Y74C9A.3	171590
D1007.6	172061
C15A11.4	182626
W04A4.3	189179
F48C1.1	172178
B0414.6	172245
C34G6.6	172261
R11A5.1	172553
C10H11.5	182508
Y106G6H.8	190926
Y92H12BR.2	171706
F17B5.1	173182
T10B11.2	172423
K05C4.1	173334
C01G8.4	172173
R10A10.2	172344
Y54E10BL.1	190262
F36A2.3	172690
Y92H12BL.4	190787
T27A3.1	172297
T05E7.1	172309
Y54E5B.2	173352
Y54E10BR.7	171879
W03F11.6	171776
C55B7.12	183847
C45G3.4	3565963
T22C1.8	172571
F56C11.5	186374
C54C8.5	183771
C55B7.10	183845
F43G9.1	172655
F49B2.2	186009
Y52B11A.7	190183
F36D1.3	185345
Y47D9A.3	189989
Y65B4BL.7	3564829
VF36H2L.1	172747
F07A5.3	184107
F55A3.6	186271
W02D9.3	173124
ZK337.1	173367
F57B10.5	172372
B0041.3	172073
Y105E8B.7	190914
C17H1.14	4363010
H37N21.1	186807
F14B4.3	172752
R12E2.15	172000
F53B6.7	172710
F53F10.1	171959
F39B2.5	185487
W04A8.6	173256
F56H1.3	186411
ZK1025.2	173030
ZK1025.2	173032
D1081.9	172637
Y65B4A.4	190484
F17B5.8	6418584
T08B2.10	172313
Y18D10A.26	3565267
F52A8.2	172483
F23C8.3	184891
C09D1.1	171990
C36B1.10	172683
T23G11.7	172528
T03F1.1	171968
F21C3.4	172473
Y87G2A.17	3565861
B0207.12	172270
C25A1.16	6418573
F30F8.10	3565178
Y47G6A.12	171912
C25A1.2	182874
K04F10.3	172334
C18E3.7	172013
ZC581.1	191199
C41G7.4	183391
T05F1.13	353385
F13G3.7	172478
C54G4.3	183812
F28B3.10	172114
Y37E3.5	171765
Y18D10A.2	189471
ZC247.3	172893
F52B5.1	172613
T28F2.4	171932
F11A6.1	173051
Y53H1A.5	3565955
T27F6.5	173117
F55F8.4	172225
Y71G12B.26	171742
D2005.2	172544
F26H9.7	185003
C24G7.2	182852
T26E3.3	173137
F21C3.7	6418585
F32B5.1	171831
T27C10.1	188990
T27C10.1	13182001
F49D11.3	186032
C27A12.4	182954
F48A9.1	185957
C06A5.11	182284
F55F8.3	172224
K12C11.1	171704
F56H1.2	186410
F41D3.4	185604
F08A8.4	173164
F49B2.7	7040179
H27M09.2	172412
M01D7.5	171753
Y47H9B.2	173057
H28O16.2	173133
W09G3.7	173245
F16D3.2	172621
F56A6.4	171652
W09C5.1	173232
Y87G2A.1	173221
C17D12.7	173044
C01G8.3	172172
D1081.3	183927
ZC334.13	7040195
F49D11.4	186033
T22C1.11	172573
C17E4.10	172770
F26E4.10	172830
Y53H1C.3	190252
C10H11.8	182509
T10E9.4	172362
M05B5.3	266840
Y53H1C.2	190251
C49A1.2	183586
F57C9.2	186446
T03F1.7	188022
F26A3.7	172526
Y87G2A.8	173227
C34B7.1	172618
W06D4.2	189238
Y71A12B.4	190574
F54A5.1	171679
